"CUE","TARGET","NORMED.","X.G","X.P","FSG","BSG","MSG","OSG","X.M","MMIAS","X.O","OMIAS","QSS","QFR","QCON","QH","QPS","QMC","QPR","QRSG","QUC","TSS","TFR","TCON","TH","TPS","TMC","TPR","TRSG","TUC","code"
"ALLIGATOR"," CROCODILE"," YES",128,59,0.46," .629"," 0.0000"," .0067"," 0"," 0"," 7.0"," 7",13,4," 6.45"," "," N",1.08,"0.23","0.295","1"," 14"," 1"," 5.70"," "," N"," 1.15"," .08"," .289",1,"{cue: ""ALLIGATOR"", target: ""CROCODILE""},"
"GEOMETRY"," MATH"," YES",148,79,0.534," 0.000"," .0340"," .0028"," 6"," 1"," 2.0"," 0",11,9," 3.33"," "," N",2.5,"0.3","0.022","1"," 19"," 4"," 3.78"," "," N"," 2.26"," .58"," .161",1,"{cue: ""GEOMETRY"", target: ""MATH""},"
"ANSWER"," QUESTION"," YES",126,68,0.54," .767"," .0030"," 0.0000"," 1"," 0"," 0.0"," 0",9,152," 3.85"," "," N",1.44,"0.67","0.537","1"," 6"," 257"," 3.91"," "," N"," .40"," .60"," .429",1,"{cue: ""ANSWER"", target: ""QUESTION""},"
"SEAT"," CHAIR"," YES",140,76,0.543," .109"," .0397"," .0330"," 3"," 0"," 3.0"," 0",10,54," 6.79"," "," N",1.1,"0.3","0.07","1"," 14"," 66"," 6.12"," "," N"," 2.46"," .85"," .396",1,"{cue: ""SEAT"", target: ""CHAIR""},"
"AUTUMN"," FALL"," YES",154,81,0.526," .047"," .0630"," .0571"," 4"," 0"," 3.0"," 0",9,22," 3.50"," "," N",1.89,"0.33","0.046","1"," 17"," 147"," 3.86"," P"," V"," 1.41"," .65"," .117",1,"{cue: ""AUTUMN"", target: ""FALL""},"
"BOULDER"," ROCK"," YES",154,101,0.656," .038"," .0120"," .0005"," 1"," 1"," 1.0"," 1",8,10," 6.96"," "," N",0.43,"0.14","0.025","1"," 13"," 75"," 6.03"," N"," N"," .46"," .54"," .234",1,"{cue: ""BOULDER"", target: ""ROCK""},"
"ALTER"," CHANGE"," YES",180,114,0.633," .031"," .0020"," 0.0000"," 1"," 0"," 0.0"," 0",4,15," 4.26"," "," V",0.5,"0.5","0.02","1"," 15"," 240"," 3.06"," N"," V"," .92"," .23"," .028",1,"{cue: ""ALTER"", target: ""CHANGE""},"
"GAVEL"," JUDGE"," YES",150,70,0.467," .041"," .0220"," .0253"," 1"," 0"," 1.0"," 0",8,0," ¥"," "," N",1.12,"0.13","0.019","1"," 17"," 77"," 6.25"," "," V"," 1.18"," .59"," .130",1,"{cue: ""GAVEL"", target: ""JUDGE""},"
"CABLE"," TELEVISION"," YES",148,102,0.689," .014"," 0.0000"," 0.0000"," 1"," 1"," 0.0"," 0",8,7," 5.40"," N"," N",0.71,"0.14","0.01","1"," 19"," 50"," 6.40"," "," N"," 1.41"," .82"," .067",1,"{cue: ""CABLE"", target: ""TELEVISION""},"
"SEVERAL"," MANY"," YES",149,88,0.591," .021"," .0874"," .0669"," 6"," 1"," 3.0"," 1",12,377," ¥"," "," AJ",2.18,"0.27","0.015","1"," 8"," 1030"," 2.67"," "," AJ"," 2.50"," .75"," .231",1,"{cue: ""SEVERAL"", target: ""MANY""},"
"BLACK"," WHITE"," YES",140,78,0.557," .655"," .0010"," .0009"," 2"," 0"," 1.0"," 0",10,203," 4.66"," "," AJ",0.5,"0.5","0.381","1"," 8"," 365"," 4.68"," "," N"," .88"," .88"," .390",1,"{cue: ""BLACK"", target: ""WHITE""},"
"GLANCE"," LOOK"," YES",148,94,0.635," .017"," .0570"," .0161"," 5"," 1"," 2.0"," 0",9,40," ¥"," "," V",1.75,"0.25","0.013","0"," 11"," 399"," 3.74"," "," V"," 1.70"," .70"," .189",1,"{cue: ""GLANCE"", target: ""LOOK""},"
"BACK"," FRONT"," YES",148,77,0.52," .715"," .0100"," 0.0000"," 2"," 0"," 0.0"," 0",12,967," 4.89"," "," N",1.25,"0.5","0.406","1"," 5"," 221"," 4.14"," N"," N"," .20"," .40"," .375",1,"{cue: ""BACK"", target: ""FRONT""},"
"SELLER"," BUYER"," YES",152,78,0.513," .572"," 0.0000"," .0004"," 0"," 2"," 2.0"," 2",12,6," 4.05"," "," N",1.1,"0.2","0.294","1"," 8"," 2"," ¥"," "," N"," 1.00"," .17"," .293",1,"{cue: ""SELLER"", target: ""BUYER""},"
"ACRE"," LAND"," YES",126,85,0.675," .020"," .0090"," .0011"," 5"," 0"," 2.0"," 1",9,9," 5.91"," "," N",1.44,"0.22","0.014","1"," 25"," 217"," 6.07"," N"," N"," 2.08"," .28"," .028",1,"{cue: ""ACRE"", target: ""LAND""},"
"ADULT"," CHILD"," YES",148,68,0.459," .101"," .0520"," .0104"," 7"," 1"," 3.0"," 0",12,25," 4.88"," "," N",2.27,"0.55","0.067","1"," 15"," 213"," 5.72"," "," N"," 2.60"," .53"," .163",1,"{cue: ""ADULT"", target: ""CHILD""},"
"SALARY"," MONEY"," YES",184,95,0.516," 0.000"," .0968"," .0002"," 5"," 0"," 1.0"," 0",11,43," 5.23"," "," N",1.36,"0.18","0.021","1"," 19"," 265"," 5.77"," "," N"," 1.39"," .89"," .312",1,"{cue: ""SALARY"", target: ""MONEY""},"
"ALE"," BEER"," YES",150,73,0.487," .011"," .0090"," .0118"," 2"," 2"," 2.0"," 0",7,1," 5.66"," "," N",1.2,"0.2","0.005","0"," 22"," 34"," 5.83"," "," N"," 2.17"," .67"," .094",1,"{cue: ""ALE"", target: ""BEER""},"
"BARRACUDA"," FISH"," YES",99,46,0.465," 0.000"," .0210"," .0048"," 1"," 0"," 2.0"," 1",8,0," 6.08"," "," N",0.88,"0","0","1"," 24"," 35"," 5.84"," G"," N"," 1.26"," .74"," .101",1,"{cue: ""BARRACUDA"", target: ""FISH""},"
"ADORABLE"," CUTE"," YES",148,102,0.689," .064"," .0060"," .0118"," 4"," 3"," 5.0"," 0",8,3," ¥"," "," AJ",2.4,"0.2","0.044","0"," 18"," 5"," 3.10"," "," AJ"," 2.25"," .56"," .072",1,"{cue: ""ADORABLE"", target: ""CUTE""},"
"DAIRY"," MILK"," YES",154,76,0.494," .012"," .0440"," .0438"," 3"," 1"," 3.0"," 0",13,19," ¥",," N",1.08," .17"," .007"," 1"," 18"," 49"," 6.66"," "," N"," 1.29"," .59"," .161",1,"{cue: ""DAIRY"", target: ""MILK""},"
"ARGUE"," FIGHT"," YES",148,75,0.507," .054"," .0200"," .0004"," 3"," 0"," 1.0"," 0",10,29," 3.23"," "," V",1.4,"0.5","0.056","1"," 24"," 98"," 4.16"," "," V"," 2.05"," .50"," .106",1,"{cue: ""ARGUE"", target: ""FIGHT""},"
"BROOK"," STREAM"," YES",147,68,0.462," .077"," .0220"," .0946"," 2"," 1"," 3.0"," 1",6,3," 5.97"," "," N",2,"0.6","0.042","1"," 10"," 51"," 6.24"," "," N"," 2.60"," .50"," .077",1,"{cue: ""BROOK"", target: ""STREAM""},"
"LATE"," EARLY"," YES",148,70,0.473," .507"," .0019"," .0002"," 1"," 0"," 1.0"," 1",11,179," 2.53"," "," AJ",1.09,"0.46","0.321","1"," 8"," 366"," 2.54"," "," AJ"," .43"," .43"," .287",1,"{cue: ""LATE"", target: ""EARLY""},"
"AWAKE"," ASLEEP"," YES",144,89,0.618," .371"," .0050"," .0054"," 2"," 0"," 1.0"," 0",9,20," 4.40"," "," V",1.11,"0.67","0.252","1"," 15"," 27"," ¥"," "," AJ"," 2.86"," .21"," .233",1,"{cue: ""AWAKE"", target: ""ASLEEP""},"
"ADDICTION"," DRUG"," YES",146,97,0.664," .034"," .0180"," .0050"," 2"," 1"," 3.0"," 1",8,3," ¥"," "," N",1.43,"0.43","0.024","1"," 20"," 24"," 5.54"," G"," N"," 1.80"," .65"," .078",1,"{cue: ""ADDICTION"", target: ""DRUG""},"
"BRIEF"," SHORT"," YES",146,85,0.582," 0.000"," .0260"," .0133"," 2"," 1"," 2.0"," 0",10,73," 3.53"," "," AJ",0.67,"0","0","1"," 9"," 212"," 4.57"," "," AJ"," .86"," .71"," .414",1,"{cue: ""BRIEF"", target: ""SHORT""},"
"ALLOW"," LET"," YES",180,83,0.461," .283"," .0130"," .0086"," 2"," 1"," 3.0"," 3",16,72," 2.64"," "," V",1.73,"0.33","0.196","1"," 14"," 384"," ¥"," "," V"," .77"," .08"," .131",1,"{cue: ""ALLOW"", target: ""LET""},"
"ATLAS"," MAP"," YES",148,78,0.527," .024"," .0060"," .0223"," 3"," 1"," 3.0"," 0",10,12," 5.74"," "," N",1.56,"0.33","0.017","1"," 16"," 13"," 5.53"," "," N"," 1.53"," .40"," .023",1,"{cue: ""ATLAS"", target: ""MAP""},"
"BOTTOM"," TOP"," YES",148,75,0.507," .696"," 0.0000"," .0008"," 0"," 2"," 1.0"," 1",15,88," ¥"," "," N",0.69,"0.15","0.356","1"," 11"," 204"," 4.31"," T"," N"," .82"," .55"," .359",1,"{cue: ""BOTTOM"", target: ""TOP""},"
